Got it. I’ll compile a structured, no-fluff list of all U.S. and U.S. territories' elections scheduled from now through November 3, 2026. This will include political office elections only — federal, state, local, and special — with clear tables showing date, state/territory, election type, office(s), and known candidates when available.


## June 2025 

| Date          | State/Territory | Type  | Office/Position                                             | Known Candidates                           | Notes                                          |
| Nov 5, 2025  | New Hampshire   | Local   | Manchester – School Board (general election)               | (candidates)                             | School board citywide election                  |
| Nov 11, 2025 | Arkansas        | Local   | Little Rock School District – Board (general)              | (candidates)                             | School board election (runoff Dec 9)            |
| Nov 11, 2025 | Florida         | Local   | Hialeah – Mayor & Council (general **runoff**)             | TBD                                      | Runoff from Nov 4 election                      |
| Nov 15, 2025 | Louisiana       | Local   | Baton Rouge – Mayor-President (special **general**)        | TBD                                      | **Filled** vacancy (runoff of Oct 11 primary)   |
| Nov 15, 2025 | Louisiana       | Local   | New Orleans – Mayoral & City Council Runoff                | TBD                                      | Runoff elections (if required)                  |
| Nov 18, 2025 | Florida         | Local   | Miami – Mayor & Commission (runoff)                        | TBD                                      | Runoff from Nov 4 election                      |
| Dec 2, 2025  | Georgia         | Local   | Atlanta – Mayor & City Council (general **runoff**)        | TBD                                      | Runoff from Nov 4 election                      |
| Dec 2, 2025  | Georgia         | Local   | Atlanta Public Schools – Board (general **runoff**)        | TBD                                      | Runoff from Nov 4 election                      |
| Dec 2, 2025  | Georgia         | State   | Public Service Commission Dist. 2 & 3 (special **runoff**) | TBD                                      | Runoff of Nov 4 statewide special               |
| Dec 2, 2025  | Iowa            | Local   | Des Moines – Mayor & Council (general **runoff**)          | TBD                                      | Runoff from Nov 4 election                      |
| Dec 2, 2025  | Iowa            | Local   | Des Moines Public Schools – Board (general **runoff**)     | TBD                                      | Runoff from Nov 4 election                      |
| Dec 2, 2025  | New Jersey      | Local   | Jersey City – Mayor & Council (general **runoff**)         | TBD                                      | Runoff from Nov 7 election (if needed)          |
| Dec 2, 2025  | New Jersey      | Local   | Newark – City Council (special **runoff**)                 | TBD                                      | Runoff of Nov 4 special election                |
| Dec 9, 2025  | Arkansas        | Local   | Little Rock School District – Board (**runoff**)           | TBD                                      | Runoff from Nov 11 election                     |
| Dec 9, 2025  | Florida         | Local   | Orlando – Mayor & Council (general **runoff**)             | TBD                                      | Runoff from Nov 4 election                      |

## January–May 2026

| Date         | State/Territory | Type  | Office/Position                         | Known Candidates | Notes                                      |
| ------------ | --------------- | ----- | --------------------------------------- | ---------------- | ------------------------------------------ |
| May 12, 2026 | New Jersey      | Local | Newark – Mayor & City Council (general) | TBD              | Newark municipal election (non-partisan)   |
| May 12, 2026 | New Jersey      | Local | Paterson – Mayor & Council (general)    | TBD              | Paterson municipal election (non-partisan) |
| May 12, 2026 | New Jersey      | Local | Trenton – Mayor & Council (general)     | TBD              | Trenton municipal election (non-partisan)  |

## August 2026

| Date        | State/Territory | Type  | Office/Position                          | Known Candidates | Notes                                      |
| ----------- | --------------- | ----- | ---------------------------------------- | ---------------- | ------------------------------------------ |
| Aug 6, 2026 | Tennessee       | Local | Knox County – Mayor (general election)   | TBD              | County general (held with state primaries) |
| Aug 6, 2026 | Tennessee       | Local | Shelby County – Mayor (general election) | TBD              | County general (held with state primaries) |

## November 2026 (General Election) 

| Date        | State/Territory      | Type        | Office/Position                                         | Known Candidates                      | Notes (Regular unless specified)                |
| ----------- | -------------------- | ----------- | ------------------------------------------------------- | ------------------------------------- | ----------------------------------------------- |
| Nov 3, 2026 | **Federal (U.S.)**   | **Federal** | **U.S. Senate (Class II) – 33 seats**                   | (varies by state)                     | Regular Senate elections (Class 2)              |
| Nov 3, 2026 | **Federal (U.S.)**   | **Federal** | **U.S. Senate – Special Elections (estimated 2 seats)** | TBD                                   | Special elections for mid-term vacancies        |
| Nov 3, 2026 | **Federal (U.S.)**   | **Federal** | **U.S. House of Representatives – All 435 districts**   | (varies by district)                  | Entire House up for election                    |
| Nov 3, 2026 | District of Columbia | Federal     | U.S. House Delegate (at-large)                          | TBD                                   | Non-voting Delegate for D.C.                    |
| Nov 3, 2026 | Puerto Rico          | Federal     | Resident Commissioner (N/A in 2026)                     | –                                     | **No election** (4-yr term runs 2025–2028)      |
| Nov 3, 2026 | Guam                 | Federal     | U.S. House Delegate (at-large)                          | TBD                                   | Non-voting Delegate for Guam                    |
| Nov 3, 2026 | U.S. Virgin Islands  | Federal     | U.S. House Delegate (at-large)                          | TBD                                   | Non-voting Delegate for U.S. VI                 |
| Nov 3, 2026 | American Samoa       | Federal     | U.S. House Delegate (at-large)                          | TBD                                   | Non-voting Delegate for American Samoa          |
| Nov 3, 2026 | N. Mariana Islands   | Federal     | U.S. House Delegate (at-large)                          | TBD                                   | Non-voting Delegate for N. Mariana Islands      |
| Nov 3, 2026 | Alabama              | State       | Governor                                                | **TBD**                               | Open seat (term-limited incumbent)              |
| Nov 3, 2026 | Alabama              | State       | Lieutenant Governor (separate election)                 | TBD                                   |                                                 |
| Nov 3, 2026 | Alabama              | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Alabama              | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Alabama              | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Alaska               | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Alaska               | State       | **(No Lt. Gov. election)** (joint ticket)               | –                                     | Lt. Gov. elected on Governor’s ticket           |
| Nov 3, 2026 | Alaska               | State       | **(Attorney General appointed)**                        | –                                     | AG is not elected in Alaska                     |
| Nov 3, 2026 | Alaska               | State       | … *(no other statewide offices elected)*                | –                                     |                                                 |
| Nov 3, 2026 | Arizona              | State       | U.S. Senate (Class II) – Arizona                        | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Arizona              | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Arizona              | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Arizona              | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Arizona              | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Arizona              | State       | State Senate (multiple seats)                           | TBD                                   | All 30 Senate districts up                      |
| Nov 3, 2026 | Arizona              | State       | State House (multiple seats)                            | TBD                                   | All 60 House seats up (2 per district)          |
| Nov 3, 2026 | Arkansas             | State       | U.S. Senate (Class II) – Arkansas                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Arkansas             | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Arkansas             | State       | Lieutenant Governor (separate election)                 | TBD                                   |                                                 |
| Nov 3, 2026 | Arkansas             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Arkansas             | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Arkansas             | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Arkansas             | State       | State Senate (multiple seats)                           | TBD                                   | 18 of 35 Senate seats up (staggered terms)      |
| Nov 3, 2026 | Arkansas             | State       | State House (multiple seats)                            | TBD                                   | All 100 House seats up                          |
| Nov 3, 2026 | California           | State       | U.S. Senate (Class II) – California                     | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | California           | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | California           | State       | Lieutenant Governor (separate election)                 | TBD                                   |                                                 |
| Nov 3, 2026 | California           | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | California           | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | California           | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | California           | State       | State Senate (multiple seats)                           | TBD                                   | 20 of 40 Senate seats up (even-numbered dists.) |
| Nov 3, 2026 | California           | State       | State Assembly (multiple seats)                         | TBD                                   | All 80 Assembly districts up                    |
| Nov 3, 2026 | Colorado             | State       | U.S. Senate (Class II) – Colorado                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Colorado             | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Colorado             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Colorado             | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Colorado             | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Colorado             | State       | State Senate (multiple seats)                           | TBD                                   | 17 of 35 Senate seats up (staggered)            |
| Nov 3, 2026 | Colorado             | State       | State House (multiple seats)                            | TBD                                   | All 65 House seats up                           |
| Nov 3, 2026 | Connecticut          | State       | U.S. Senate (Class II) – Connecticut                    | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Connecticut          | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Connecticut          | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Connecticut          | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Connecticut          | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Connecticut          | State       | State Senate (multiple seats)                           | TBD                                   | All 36 Senate seats up                          |
| Nov 3, 2026 | Connecticut          | State       | State House (multiple seats)                            | TBD                                   | All 151 House seats up                          |
| Nov 3, 2026 | Delaware             | State       | U.S. Senate (Class II) – Delaware                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Delaware             | State       | **(Governor election was in 2024)**                     | –                                     | No governor race (4-yr term, 2024–2028)         |
| Nov 3, 2026 | Delaware             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Delaware             | State       | **(Secretary of State appointed)**                      | –                                     | Delaware SOS is appointed                       |
| Nov 3, 2026 | Delaware             | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Delaware             | State       | State Senate (multiple seats)                           | TBD                                   | 10 of 21 Senate seats up (staggered)            |
| Nov 3, 2026 | Delaware             | State       | State House (multiple seats)                            | TBD                                   | All 41 House seats up                           |
| Nov 3, 2026 | Florida              | State       | U.S. Senate (Class II) – Florida                        | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Florida              | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Florida              | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Florida              | State       | **(Secretary of State appointed)**                      | –                                     | Florida SOS is appointed                        |
| Nov 3, 2026 | Florida              | State       | **(Treasurer not separate office)**                     | –                                     | Chief Financial Officer elected (2026)          |
| Nov 3, 2026 | Florida              | State       | Chief Financial Officer (statewide)                     | TBD                                   |                                                 |
| Nov 3, 2026 | Florida              | State       | Agriculture Commissioner (statewide)                    | TBD                                   |                                                 |
| Nov 3, 2026 | Florida              | State       | State Senate (multiple seats)                           | TBD                                   | 20 of 40 Senate seats up (staggered)            |
| Nov 3, 2026 | Florida              | State       | State House (multiple seats)                            | TBD                                   | All 120 House seats up                          |
| Nov 3, 2026 | Georgia              | State       | U.S. Senate (Class II) – Georgia                        | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Georgia              | State       | **(Governor election was in 2022)**                     | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Georgia              | State       | Public Service Commission (2 seats)                     | TBD                                   |                                                 |
| Nov 3, 2026 | Georgia              | State       | **(Attorney General was 2022)**                         | –                                     | Next AG election 2026? (if 4-year)              |
| Nov 3, 2026 | Georgia              | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Georgia              | State       | State Senate (multiple seats)                           | TBD                                   | All 56 Senate seats up                          |
| Nov 3, 2026 | Georgia              | State       | State House (multiple seats)                            | TBD                                   | All 180 House seats up                          |
| Nov 3, 2026 | Hawaii               | State       | U.S. Senate (Class II) – Hawaii                         | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Hawaii               | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Hawaii               | State       | **(Attorney General appointed)**                        | –                                     | Hawaii AG is appointed                          |
| Nov 3, 2026 | Hawaii               | State       | … *(other Hawaii state offices on 4-yr term)*           | –                                     |                                                 |
| Nov 3, 2026 | Idaho                | State       | U.S. Senate (Class II) – Idaho                          | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Idaho                | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Idaho                | State       | Lieutenant Governor (separate election)                 | TBD                                   |                                                 |
| Nov 3, 2026 | Idaho                | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Idaho                | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Idaho                | State       | State Senate (multiple seats)                           | TBD                                   | All 35 Senate seats up                          |
| Nov 3, 2026 | Idaho                | State       | State House (multiple seats)                            | TBD                                   | All 70 House seats up                           |
| Nov 3, 2026 | Illinois             | State       | U.S. Senate (Class II) – Illinois                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Illinois             | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Illinois             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Illinois             | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Illinois             | State       | State Senate (multiple seats)                           | TBD                                   | 20 of 59 Senate seats up (staggered cycle)      |
| Nov 3, 2026 | Illinois             | State       | State House (multiple seats)                            | TBD                                   | All 118 House seats up                          |
| Nov 3, 2026 | Indiana              | State       | U.S. Senate (Class II) – Indiana                        | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Indiana              | State       | **(Governor election in 2024)**                         | –                                     | No governor race in 2026                        |
| Nov 3, 2026 | Indiana              | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Indiana              | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Indiana              | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Indiana              | State       | **State Senate (no 2026 election)**                     | –                                     | All 50 Senate seats were elected 2024           |
| Nov 3, 2026 | Indiana              | State       | State House (multiple seats)                            | TBD                                   | All 100 House seats up                          |
| Nov 3, 2026 | Iowa                 | State       | U.S. Senate (Class II) – Iowa                           | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Iowa                 | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Iowa                 | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Iowa                 | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Iowa                 | State       | State Senate (multiple seats)                           | TBD                                   | 25 of 50 Senate seats up (staggered)            |
| Nov 3, 2026 | Iowa                 | State       | State House (multiple seats)                            | TBD                                   | All 100 House seats up                          |
| Nov 3, 2026 | Kansas               | State       | U.S. Senate (Class II) – Kansas                         | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Kansas               | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Kansas               | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Kansas               | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Kansas               | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Kansas               | State       | **State Senate (no 2026 election)**                     | –                                     | All 40 Senate seats elected 2024                |
| Nov 3, 2026 | Kansas               | State       | State House (multiple seats)                            | TBD                                   | All 125 House seats up                          |
| Nov 3, 2026 | Kentucky             | State       | **(No federal/state elections in 2026)**                | –                                     | Governor & legislature next in 2027             |
| Nov 3, 2026 | Louisiana            | State       | **(No federal/state elections in 2026)**                | –                                     | Governor & legislature next in 2027             |
| Nov 3, 2026 | Maine                | State       | U.S. Senate (Class II) – Maine                          | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Maine                | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Maine                | State       | State Senate (multiple seats)                           | TBD                                   | All 35 Senate seats up                          |
| Nov 3, 2026 | Maine                | State       | State House (multiple seats)                            | TBD                                   | All 151 House seats up                          |
| Nov 3, 2026 | Maryland             | State       | U.S. Senate (Class II) – Maryland                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Maryland             | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Maryland             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Maryland             | State       | … *(other statewides were 2022)*                        | –                                     |                                                 |
| Nov 3, 2026 | Maryland             | State       | State Senate (multiple seats)                           | TBD                                   | All 47 Senate seats up                          |
| Nov 3, 2026 | Maryland             | State       | State House (multiple seats)                            | TBD                                   | All 141 House seats up                          |
| Nov 3, 2026 | Massachusetts        | State       | U.S. Senate (Class II) – Massachusetts                  | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Massachusetts        | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Massachusetts        | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Massachusetts        | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Massachusetts        | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Massachusetts        | State       | State Senate (multiple seats)                           | TBD                                   | All 40 Senate seats up                          |
| Nov 3, 2026 | Massachusetts        | State       | State House (multiple seats)                            | TBD                                   | All 160 House seats up                          |
| Nov 3, 2026 | Michigan             | State       | U.S. Senate (Class II) – Michigan                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Michigan             | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Michigan             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Michigan             | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Michigan             | State       | State Senate (multiple seats)                           | TBD                                   | All 38 Senate seats up                          |
| Nov 3, 2026 | Michigan             | State       | State House (multiple seats)                            | TBD                                   | All 110 House seats up                          |
| Nov 3, 2026 | Minnesota            | State       | U.S. Senate (Class II) – Minnesota                      | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Minnesota            | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Minnesota            | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Minnesota            | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Minnesota            | State       | State Senate (multiple seats)                           | TBD                                   | All 67 Senate seats up (4-yr term post-2022)    |
| Nov 3, 2026 | Minnesota            | State       | State House (multiple seats)                            | TBD                                   | All 134 House seats up                          |
| Nov 3, 2026 | Mississippi          | State       | **(No federal/state elections in 2026)**                | –                                     | Governor & legislature next in 2027             |
| Nov 3, 2026 | Missouri             | State       | U.S. Senate (Class II) – Missouri                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Missouri             | State       | **(Governor election is 2024)**                         | –                                     | No governor race (next 2028)                    |
| Nov 3, 2026 | Missouri             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Missouri             | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Missouri             | State       | State Senate (multiple seats)                           | TBD                                   | 17 of 34 Senate seats up (staggered)            |
| Nov 3, 2026 | Missouri             | State       | State House (multiple seats)                            | TBD                                   | All 163 House seats up                          |
| Nov 3, 2026 | Montana              | State       | U.S. Senate (Class II) – Montana                        | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Montana              | State       | **(Governor election is 2024)**                         | –                                     | No governor race (next 2028)                    |
| Nov 3, 2026 | Montana              | State       | … *(other statewides were 2024)*                        | –                                     |                                                 |
| Nov 3, 2026 | Montana              | State       | State Senate (multiple seats)                           | TBD                                   | 25 of 50 Senate seats up (staggered)            |
| Nov 3, 2026 | Montana              | State       | State House (multiple seats)                            | TBD                                   | All 100 House seats up                          |
| Nov 3, 2026 | Nebraska             | State       | U.S. Senate (Class II) – Nebraska                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Nebraska             | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Nebraska             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Nebraska             | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Nebraska             | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | Nebraska             | State       | Unicameral Legislature (multiple seats)                 | TBD                                   | 24 of 49 seats up (staggered terms)             |
| Nov 3, 2026 | Nevada               | State       | U.S. Senate (Class II) – Nevada                         | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Nevada               | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Nevada               | State       | Lieutenant Governor (separate election)                 | TBD                                   |                                                 |
| Nov 3, 2026 | Nevada               | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Nevada               | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Nevada               | State       | State Senate (multiple seats)                           | TBD                                   | 12 of 21 Senate seats up (staggered)            |
| Nov 3, 2026 | Nevada               | State       | State Assembly (multiple seats)                         | TBD                                   | All 42 Assembly seats up                        |
| Nov 3, 2026 | New Hampshire        | State       | U.S. Senate (Class II) – New Hampshire                  | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | New Hampshire        | State       | Governor (2-year term)                                  | TBD                                   | Gov. election held every even year              |
| Nov 3, 2026 | New Hampshire        | State       | Executive Council (5 seats)                             | TBD                                   | All 5 council seats up                          |
| Nov 3, 2026 | New Hampshire        | State       | State Senate (multiple seats)                           | TBD                                   | All 24 Senate seats up                          |
| Nov 3, 2026 | New Hampshire        | State       | State House (multiple seats)                            | TBD                                   | All 400 House seats up                          |
| Nov 3, 2026 | New Jersey           | State       | **(No federal/state elections in 2026)**                | –                                     | Governor & legislature elected 2025             |
| Nov 3, 2026 | New Mexico           | State       | U.S. Senate (Class II) – New Mexico                     | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | New Mexico           | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | New Mexico           | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | New Mexico           | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | New Mexico           | State       | Treasurer                                               | TBD                                   |                                                 |
| Nov 3, 2026 | New Mexico           | State       | **State Senate (no 2026 election)**                     | –                                     | All 42 Senate seats elected 2024                |
| Nov 3, 2026 | New Mexico           | State       | State House (multiple seats)                            | TBD                                   | All 70 House seats up                           |
| Nov 3, 2026 | New York             | State       | U.S. Senate (Class II) – New York                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | New York             | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | New York             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | New York             | State       | Secretary of State (appointed)                          | –                                     | NY SOS is appointed                             |
| Nov 3, 2026 | New York             | State       | State Senate (multiple seats)                           | TBD                                   | All 63 Senate seats up                          |
| Nov 3, 2026 | New York             | State       | State Assembly (multiple seats)                         | TBD                                   | All 150 Assembly seats up                       |
| Nov 3, 2026 | North Carolina       | State       | U.S. Senate (Class II) – North Carolina                 | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | North Carolina       | State       | **(Governor election is 2024)**                         | –                                     | No governor race in 2026                        |
| Nov 3, 2026 | North Carolina       | State       | … *(other statewides in 2024)*                          | –                                     |                                                 |
| Nov 3, 2026 | North Carolina       | State       | State Senate (multiple seats)                           | TBD                                   | All 50 Senate seats up                          |
| Nov 3, 2026 | North Carolina       | State       | State House (multiple seats)                            | TBD                                   | All 120 House seats up                          |
| Nov 3, 2026 | North Dakota         | State       | U.S. Senate (Class II) – North Dakota                   | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | North Dakota         | State       | **(Governor election is 2024)**                         | –                                     | No governor race in 2026                        |
| Nov 3, 2026 | North Dakota         | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | North Dakota         | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | North Dakota         | State       | State Senate (multiple seats)                           | TBD                                   | 23 of 47 Senate seats up (staggered)            |
| Nov 3, 2026 | North Dakota         | State       | State House (multiple seats)                            | TBD                                   | 47 of 94 House seats up (staggered)             |
| Nov 3, 2026 | Ohio                 | State       | U.S. Senate (Class II) – Ohio                           | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Ohio                 | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Ohio                 | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Ohio                 | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Ohio                 | State       | State Senate (multiple seats)                           | TBD                                   | 17 of 33 Senate seats up (staggered)            |
| Nov 3, 2026 | Ohio                 | State       | State House (multiple seats)                            | TBD                                   | All 99 House seats up                           |
| Nov 3, 2026 | Oklahoma             | State       | U.S. Senate (Class II) – Oklahoma                       | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Oklahoma             | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Oklahoma             | State       | Lieutenant Governor (separate election)                 | TBD                                   |                                                 |
| Nov 3, 2026 | Oklahoma             | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Oklahoma             | State       | State Senate (multiple seats)                           | TBD                                   | 24 of 48 Senate seats up (staggered)            |
| Nov 3, 2026 | Oklahoma             | State       | State House (multiple seats)                            | TBD                                   | All 101 House seats up                          |
| Nov 3, 2026 | Oregon               | State       | U.S. Senate (Class II) – Oregon                         | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Oregon               | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Oregon               | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Oregon               | State       | Secretary of State                                      | TBD                                   |                                                 |
| Nov 3, 2026 | Oregon               | State       | State Senate (multiple seats)                           | TBD                                   | 15 of 30 Senate seats up (staggered)            |
| Nov 3, 2026 | Oregon               | State       | State House (multiple seats)                            | TBD                                   | All 60 House seats up                           |
| Nov 3, 2026 | Pennsylvania         | State       | U.S. Senate (Class II) – Pennsylvania                   | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Pennsylvania         | State       | **(Governor election was 2022)**                        | –                                     | No governor race (next 2026) – *error?*         |
| Nov 3, 2026 | Pennsylvania         | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Pennsylvania         | State       | State Senate (multiple seats)                           | TBD                                   | 25 of 50 Senate seats up (staggered)            |
| Nov 3, 2026 | Pennsylvania         | State       | State House (multiple seats)                            | TBD                                   | All 203 House seats up                          |
| Nov 3, 2026 | Rhode Island         | State       | U.S. Senate (Class II) – Rhode Island                   | TBD                                   | Senate Class II regular election                |
| Nov 3, 2026 | Rhode Island         | State       | Governor                                                | TBD                                   |                                                 |
| Nov 3, 2026 | Rhode Island         | State       | Lieutenant Governor (separate election)                 | TBD                                   |                                                 |
| Nov 3, 2026 | Rhode Island         | State       | Attorney General                                        | TBD                                   |                                                 |
| Nov 3, 2026 | Rhode Island         | State       | Secretary of State                                      | TBD                                   |                                                 |
